Subject,YOB,MOB,DOB,Horse (Animal),Bayonet,Glass (Utensil),Car,Chicken (Animal),Cup,Doll,Drumstick (Food),Duck,Foal,Glass (Material),Gondola,Sock,Harpsichord,Hen,Horse (toy),Iodine,Ball,Lumber,Plastic,Rocker, Chicken (food),Spoon,Windowpane,Zebra
AN032216-TC,12,4,24,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Not sure,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Not sure,No,Not sure,Yes,Not sure,Yes
AN022916-MM2,11,4,9,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Not sure,Yes,No,Yes,Not sure,Yes,Yes,No,Yes,No,Yes,No,Not sure,Yes,Not sure,Yes
AN032916-LE,12,9,13,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Not sure,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes
AN022916-ROS,11,7,30,Yes,No,Yes,Yes,Yes,Not sure,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes
AN032916-IG,12,12,14,Yes,No,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,No,Yes,No,Yes,No,Not sure,Yes,No,Yes,No,Not sure,Not sure,Not sure,Yes,Not sure,Yes
AN032316-L,12,3,13,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Not sure,Yes
AN032316-NQA,12,5,8,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Not sure,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Not sure,Not sure,Not sure,Yes,No,Yes
AN032216-AC,12,10,23,Yes,No,Yes,Yes,Yes,Not sure,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes
AN032316-BC,12,6,12,Yes,No,Yes,Yes,Yes,Not sure,Yes,No,Yes,No,Not sure,No,Yes,No,Not sure,,No,Yes,No,Not sure,Not sure,Not sure,Yes,No,Yes
AN032216-HM,12,6,20,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,Yes,No,Not sure,Yes,No,Yes,Not sure,Yes
AN032216-RB,12,3,14,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Not sure,No,Not sure,No,Yes,No,Yes,Yes,No,Yes,No,Not sure,Not sure,No,Yes,Not sure,Yes
AN022916-DT,11,12,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
AN032216-IMM,11,6,22,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not sure,No,Yes,No,Yes,Yes,No,Yes,No,Not sure,Yes,Yes,Yes,No,Yes
AN032216-KQ,12,9,16,Yes,No,Yes,Yes,Yes,No,Yes,Not sure,Yes,Not sure,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes
AN032316-AW,11,11,24,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes
BBH041416-SZS,11,9,16,Yes,No,Yes,Yes,Yes,No,Not sure,No,Not sure,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes
BBH031516-ETM,11,3,23,Yes,Not sure,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Not sure,Yes,Yes,No,Yes,No,Yes,Not sure,Yes,Yes,Not sure,Yes
BBH031516-HD,11,6,9,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes
BBH041416-AJD,12,9,1,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes
BBH031516-SFM,11,5,29,Yes,No,Yes,Yes,Yes,Not sure,Yes,Not sure,Not sure,Not sure,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Not sure,Yes,Yes,Yes,Yes
WS042616-NR,13,2,6,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Yes,Not sure,No,Yes,No,Yes,No,Yes,Yes,No,Yes
WS050216-AA,12,6,5,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,Not sure,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Not sure,Yes
WS050216-LS,11,7,17,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not sure,Yes,No,Yes,No,Not sure,Yes,No,Yes,No,Not sure,Yes,Not sure,Yes,Not sure,Yes
WS050516-EB,12,8,23,Yes,No,Yes,Yes,Yes,Not sure,Yes,No,Not sure,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Not sure,Yes,Yes,No,Yes
WS050516-FB,12,8,23,Yes,No,Yes,Yes,Yes,Not sure,Yes,No,Not sure,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Not sure,Yes,Yes,No,Yes
WS050616-FI,13,2,27,Yes,No,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Not sure,Not sure,Yes,Yes,No,Yes
WS050716-IM,12,9,30,Yes,No,Yes,Yes,Yes,Not sure,Yes,Yes,No,Not sure,Yes,No,,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes
WS050716-AMCC,12,12,7,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Not sure,No,Yes,No,No,Yes,No,Yes,No,Not sure,Not sure,Yes,Yes,Not sure,Yes
WS050916-TC,12,5,16,Yes,No,Yes,Yes,Yes,Yes,Yes,Not sure,Not sure,No,Yes,No,Yes,No,No,Not sure,No,Yes,No,Not sure,Not sure,Not sure,Yes,No,Yes
WS051216-ER,11,10,26,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes
WS052216-LA,11,10,29,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,Not sure,Not sure,No,Yes,No,No,No,Not sure,Yes,No,Yes
WS052516-SP,11,12,24,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
WS052616-SC,11,10,9,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes
WS052916-JP,11,8,9,Yes,No,Yes,Yes,Yes,Not sure,Yes,Not sure,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Not sure,Yes,Yes,Yes,Yes,Not sure,Yes